gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 0,781858511496864      xs: 0,877606506302887
Ranges of Euler angles: 0   0   0   0   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
   75,0      0,02724   0,8768      0,02548      0,00014      0,00001      0,00160
   76,0      0,02630   0,8914      0,02479      0,00014      0,00001      0,00135
   77,0      0,02539   0,9052      0,02411      0,00015      0,00001      0,00113
   78,0      0,02451   0,9181      0,02343      0,00015      0,00000      0,00093
   79,0      0,02366   0,9300      0,02276      0,00015      0,00000      0,00075
   80,0      0,02285   0,9410      0,02209      0,00016      0,00000      0,00059
   81,0      0,02206   0,9508      0,02144      0,00016      0,00000      0,00046
   82,0      0,02131   0,9596      0,02079      0,00016      0,00000      0,00035
   83,0      0,02058   0,9672      0,02016      0,00017      0,00000      0,00025
   84,0      0,01988   0,9736      0,01953      0,00017      0,00000      0,00018
   85,0      0,01920   0,9787      0,01891      0,00017      0,00000      0,00012
   86,0      0,01855   0,9826      0,01830      0,00017      0,00000      0,00007
   87,0      0,01793   0,9851      0,01771      0,00018      0,00000      0,00004
   88,0      0,01734   0,9864      0,01713      0,00018      0,00000      0,00003
   89,0      0,01676   0,9863      0,01656      0,00018      0,00000      0,00002
   90,0      0,01621   0,9849      0,01600      0,00019      0,00000      0,00003
   91,0      0,01569   0,9822      0,01545      0,00019      0,00000      0,00004
   92,0      0,01518   0,9782      0,01492      0,00019      0,00000      0,00007
   93,0      0,01470   0,9729      0,01440      0,00020      0,00000      0,00010
   94,0      0,01423   0,9664      0,01389      0,00020      0,00000      0,00014
   95,0      0,01379   0,9586      0,01340      0,00020      0,00000      0,00018
   96,0      0,01337   0,9496      0,01293      0,00020      0,00000      0,00023
   97,0      0,01296   0,9395      0,01246      0,00021      0,00001      0,00029
   98,0      0,01258   0,9284      0,01202      0,00021      0,00001      0,00034
   99,0      0,01221   0,9162      0,01158      0,00021      0,00001      0,00040
  100,0      0,01185   0,9031      0,01117      0,00021      0,00001      0,00046
  101,0      0,01152   0,8890      0,01077      0,00022      0,00001      0,00052
  102,0      0,01120   0,8742      0,01038      0,00022      0,00001      0,00059
  103,0      0,01090   0,8586      0,01001      0,00022      0,00001      0,00065
  104,0      0,01061   0,8424      0,00965      0,00022      0,00002      0,00072
  105,0      0,01033   0,8255      0,00931      0,00023      0,00002      0,00078
  106,0      0,01008   0,8082      0,00898      0,00023      0,00002      0,00084
  107,0      0,00983   0,7904      0,00867      0,00023      0,00002      0,00090
  108,0      0,00960   0,7722      0,00838      0,00023      0,00003      0,00096
  109,0      0,00939   0,7538      0,00810      0,00024      0,00003      0,00102
  110,0      0,00918   0,7351      0,00783      0,00024      0,00003      0,00108
  111,0      0,00900   0,7163      0,00758      0,00024      0,00004      0,00114
  112,0      0,00882   0,6974      0,00735      0,00024      0,00004      0,00119
  113,0      0,00866   0,6784      0,00712      0,00024      0,00004      0,00125
  114,0      0,00851   0,6595      0,00692      0,00025      0,00005      0,00130
  115,0      0,00838   0,6407      0,00672      0,00025      0,00005      0,00136
  116,0      0,00826   0,6219      0,00654      0,00025      0,00005      0,00141
  117,0      0,00815   0,6034      0,00638      0,00025      0,00006      0,00146
  118,0      0,00805   0,5850      0,00623      0,00025      0,00006      0,00151
  119,0      0,00797   0,5668      0,00609      0,00026      0,00006      0,00157
  120,0      0,00790   0,5489      0,00596      0,00026      0,00007      0,00162
  121,0      0,00785   0,5313      0,00584      0,00026      0,00007      0,00167
  122,0      0,00781   0,5139      0,00574      0,00026      0,00008      0,00173
  123,0      0,00778   0,4968      0,00565      0,00026      0,00008      0,00179
  124,0      0,00776   0,4801      0,00557      0,00026      0,00009      0,00184
  125,0      0,00776   0,4636      0,00550      0,00026      0,00009      0,00190
  126,0      0,00777   0,4474      0,00544      0,00027      0,00010      0,00197
  127,0      0,00779   0,4315      0,00539      0,00027      0,00010      0,00203
  128,0      0,00782   0,4160      0,00535      0,00027      0,00011      0,00210
  129,0      0,00787   0,4007      0,00532      0,00027      0,00011      0,00217
  130,0      0,00793   0,3857      0,00530      0,00027      0,00011      0,00224
  131,0      0,00800   0,3709      0,00529      0,00027      0,00012      0,00232
  132,0      0,00808   0,3565      0,00529      0,00027      0,00012      0,00240
  133,0      0,00818   0,3423      0,00529      0,00027      0,00013      0,00249
  134,0      0,00828   0,3284      0,00530      0,00027      0,00013      0,00258
  135,0      0,00840   0,3147      0,00532      0,00027      0,00014      0,00267
  136,0      0,00853   0,3013      0,00534      0,00027      0,00015      0,00277
  137,0      0,00867   0,2881      0,00537      0,00028      0,00015      0,00287
  138,0      0,00881   0,2752      0,00540      0,00028      0,00016      0,00298
  139,0      0,00897   0,2626      0,00544      0,00028      0,00016      0,00309
  140,0      0,00913   0,2502      0,00549      0,00028      0,00017      0,00320
  141,0      0,00931   0,2381      0,00554      0,00028      0,00017      0,00332
  142,0      0,00949   0,2263      0,00559      0,00028      0,00017      0,00344
  143,0      0,00968   0,2147      0,00565      0,00028      0,00018      0,00357
  144,0      0,00987   0,2034      0,00571      0,00028      0,00018      0,00370
  145,0      0,01007   0,1924      0,00577      0,00028      0,00019      0,00383
  146,0      0,01028   0,1816      0,00584      0,00028      0,00019      0,00397
  147,0      0,01049   0,1712      0,00590      0,00028      0,00020      0,00411
  148,0      0,01071   0,1610      0,00597      0,00028      0,00020      0,00425
  149,0      0,01093   0,1511      0,00604      0,00028      0,00021      0,00439
  150,0      0,01115   0,1415      0,00612      0,00028      0,00021      0,00454
