gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 1,95464627874216      xs: 2,19401626575722
Ranges of Euler angles: 0   0   90   90   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
 t 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
 x 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
 y 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
      Qextv        Qabsv        Qscav        Qbakv        Qprv     <cos(theta)>
   75,0      3,31960   0,0832      1,79790      0,00000      0,00000      1,52170
   76,0      3,19971   0,0724      1,71573      0,00000      0,00000      1,48398
   77,0      3,08522   0,0614      1,63727      0,00000      0,00000      1,44795
   78,0      2,97588   0,0501      1,56242      0,00000      0,00000      1,41346
   79,0      2,87143   0,0385      1,49105      0,00000      0,00000      1,38037
   80,0      2,77163   0,0269      1,42306      0,00000      0,00000      1,34856
   81,0      2,67623   0,0151      1,35833      0,00000      0,00000      1,31791
   82,0      2,58502   0,0033      1,29673      0,00000      0,00000      1,28829
   83,0      2,49776  -0,0086      1,23815      0,00000      0,00000      1,25961
   84,0      2,41424  -0,0204      1,18248      0,00000      0,00000      1,23176
   85,0      2,33426  -0,0322      1,12960      0,00000      0,00000      1,20466
   86,0      2,25761  -0,0438      1,07939      0,00000      0,00000      1,17822
   87,0      2,18410  -0,0552      1,03174      0,00000      0,00000      1,15236
   88,0      2,11356  -0,0665      0,98655      0,00000      0,00000      1,12701
   89,0      2,04581  -0,0774      0,94369      0,00000      0,00000      1,10212
   90,0      1,98070  -0,0881      0,90308      0,00000      0,00000      1,07762
   91,0      1,91806  -0,0985      0,86460      0,00000      0,00000      1,05346
   92,0      1,85775  -0,1084      0,82815      0,00000      0,00000      1,02960
   93,0      1,79965  -0,1180      0,79364      0,00000      0,00000      1,00601
   94,0      1,74361  -0,1271      0,76097      0,00000      0,00000      0,98264
   95,0      1,68953  -0,1358      0,73006      0,00000      0,00000      0,95947
   96,0      1,63729  -0,1439      0,70080      0,00000      0,00000      0,93649
   97,0      1,58679  -0,1516      0,67313      0,00000      0,00000      0,91366
   98,0      1,53794  -0,1587      0,64696      0,00000      0,00000      0,89098
   99,0      1,49065  -0,1652      0,62221      0,00000      0,00000      0,86844
  100,0      1,44483  -0,1711      0,59880      0,00000      0,00000      0,84603
  101,0      1,40043  -0,1764      0,57667      0,00000      0,00000      0,82376
  102,0      1,35737  -0,1811      0,55574      0,00000      0,00000      0,80162
  103,0      1,31559  -0,1852      0,53596      0,00000      0,00000      0,77963
  104,0      1,27503  -0,1886      0,51725      0,00000      0,00000      0,75778
  105,0      1,23566  -0,1914      0,49957      0,00000      0,00000      0,73609
  106,0      1,19742  -0,1935      0,48285      0,00000      0,00000      0,71458
  107,0      1,16028  -0,1950      0,46703      0,00000      0,00000      0,69325
  108,0      1,12421  -0,1957      0,45208      0,00000      0,00000      0,67213
  109,0      1,08917  -0,1958      0,43794      0,00000      0,00000      0,65124
  110,0      1,05515  -0,1953      0,42456      0,00000      0,00000      0,63059
  111,0      1,02211  -0,1940      0,41190      0,00000      0,00000      0,61020
  112,0      0,99004  -0,1921      0,39993      0,00000      0,00000      0,59011
  113,0      0,95892  -0,1895      0,38859      0,00000      0,00000      0,57033
  114,0      0,92875  -0,1863      0,37786      0,00000      0,00000      0,55089
  115,0      0,89950  -0,1824      0,36770      0,00000      0,00000      0,53180
  116,0      0,87118  -0,1779      0,35808      0,00000      0,00000      0,51310
  117,0      0,84377  -0,1728      0,34897      0,00000      0,00000      0,49480
  118,0      0,81727  -0,1671      0,34034      0,00000      0,00000      0,47693
  119,0      0,79167  -0,1609      0,33215      0,00000      0,00000      0,45951
  120,0      0,76696  -0,1541      0,32440      0,00000      0,00000      0,44257
  121,0      0,74316  -0,1468      0,31704      0,00000      0,00000      0,42611
  122,0      0,72024  -0,1390      0,31007      0,00000      0,00000      0,41017
  123,0      0,69822  -0,1308      0,30346      0,00000      0,00000      0,39476
  124,0      0,67708  -0,1222      0,29718      0,00000      0,00000      0,37990
  125,0      0,65682  -0,1132      0,29123      0,00000      0,00000      0,36560
  126,0      0,63745  -0,1040      0,28558      0,00000      0,00000      0,35187
  127,0      0,61894  -0,0945      0,28022      0,00000      0,00000      0,33873
  128,0      0,60131  -0,0849      0,27513      0,00000      0,00000      0,32618
  129,0      0,58454  -0,0752      0,27031      0,00000      0,00000      0,31424
  130,0      0,56863  -0,0654      0,26573      0,00000      0,00000      0,30290
  131,0      0,55357  -0,0556      0,26139      0,00000      0,00000      0,29218
  132,0      0,53935  -0,0460      0,25727      0,00000      0,00000      0,28208
  133,0      0,52595  -0,0365      0,25337      0,00000      0,00000      0,27259
  134,0      0,51338  -0,0273      0,24967      0,00000      0,00000      0,26371
  135,0      0,50161  -0,0185      0,24617      0,00000      0,00000      0,25543
  136,0      0,49062  -0,0100      0,24287      0,00000      0,00000      0,24776
  137,0      0,48042  -0,0019      0,23974      0,00000      0,00000      0,24068
  138,0      0,47097   0,0056      0,23679      0,00000      0,00000      0,23417
  139,0      0,46226   0,0125      0,23402      0,00000      0,00000      0,22824
  140,0      0,45427   0,0188      0,23141      0,00000      0,00000      0,22286
  141,0      0,44698   0,0245      0,22896      0,00000      0,00000      0,21802
  142,0      0,44037   0,0295      0,22667      0,00000      0,00000      0,21370
  143,0      0,43441   0,0337      0,22454      0,00000      0,00000      0,20988
  144,0      0,42909   0,0373      0,22255      0,00000      0,00000      0,20654
  145,0      0,42437   0,0402      0,22071      0,00000      0,00000      0,20366
  146,0      0,42024   0,0423      0,21902      0,00000      0,00000      0,20122
  147,0      0,41666   0,0438      0,21746      0,00000      0,00000      0,19920
  148,0      0,41362   0,0447      0,21605      0,00000      0,00000      0,19756
  149,0      0,41108   0,0450      0,21478      0,00000      0,00000      0,19630
  150,0      0,40902   0,0447      0,21364      0,00000      0,00000      0,19538
  151,0      0,40741   0,0439      0,21264      0,00000      0,00000      0,19477
  152,0      0,40624   0,0426      0,21177      0,00000      0,00000      0,19446
  153,0      0,40546   0,0410      0,21104      0,00000      0,00000      0,19442
  154,0      0,40507   0,0390      0,21043      0,00000      0,00000      0,19463
  155,0      0,40502   0,0368      0,20996      0,00000      0,00000      0,19506
